Page,MANUFACTURER_AND_DISTRIBUTOR,Date_Released,Date_Available,NAME_OF_DEVICE,DESCRIPTION,MATERIALS,GENERAL_USE,SPECIFIC_INDICATIONS,SPECIFIC_FEATURES,SIZES_AVAILABLE,INSTRUMENTATION,SPECIAL_REMARKS,REFERENCES_,SPECIAL_FEATURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,ZIMMER,,,Anatomic Hip Prosthesis,,Ceramic zirconium,Total hip arthroplasty,Femoral IM rod   1. All femoral fractures from the lesser trochanter to the lateral epicondyle  2. Pathological fractures  3. Non-unions  4. Osteotomies   CFX femoral reconstruction rod  1. Stable and unstable subtrochanteric fractures 2. Pathological disease and fractures 3. Ipsilateral intertrochanteric/shaft fractures 4. Severely c6mminuted shaft fractures  Tibial/humeral rod   1. Tibial fractures occurring 7cm distal to the knee joint and 7cm proximal to the ankle joint  2. Humeral fractures occurring 3cm  below the surgical neck to 5cm above  the distal end of the medullary cavity Femoral IM rod  1. All femoral fractures from the lesser trochanter to the lateral epicondyle  2. Pathological fractures  3. Non-unions  4. Osteotomies   CFX femoral reconstruction rod 1. Stable and unstable subtrochanteric fractures 2. Pathological disease and fractures 3. Ipsilateral intertrochanteric/shaft fractures 4. Severely c6mminuted shaft fractures  Tibial/humeral rod  1. Tibial fractures occurring 7cm distal to the knee joint and 7cm proximal to the ankle joint  2. Humeral fractures occurring 3cm  below the surgical neck to 5cm above  the distal end of the medullary cavity,,"Four different thicknesses of 9, 11, 13, 15 mm with four different AP widths of 42, 46, 50 and 54 mm Seven interface thicknesses of 9, 11, 13, 15, 17, 20 and 23 mm with four different AP widths of 40, 42, 46 and 50 mm",Radiolucent guide for humerus guide for ulna Radiolucent guide for humerus guide for ulna,Medical education program Available Medical education program Available,"Mancuso, R., Bickman, M.].  Estimating the True Costs of Disposable and Reusable Instruments, AORN Journal, Vol. 62  No. 1, July, 1995. Mancuso, R., Bickman, M.]. Estimating the True Costs of Disposable and Reusable Instruments, AORN Journal, Vol. 62 No. 1, July, 1995.","Femoral component ??designed to reduce poly wear; rounded condylar shape for large contact area; deepened patellar groove; short, rounded posterior condyles for enhanced ROM   Tibial component ??polished proximal tibia for reduction of possible undersurface wear; multiple stem configurations   Tibial inserts ??two conformity levels for desired stability. Axis of rotation  *xternally rotated to base to improve tracking without sacrificing tibial coverage.  Revision options ??all femoral cuts made through one cutting block   Patellar components ??single radius dome shape increases contact area and reduces contact stress; inset provides periphery of bone for stability Femoral component ??designed to reduce poly wear; rounded condylar shape for large contact area; deepened patellar groove; short, rounded posterior condyles for enhanced ROM  Tibial component ??polished proximal tibia for reduction of possible undersurface wear; multiple stem configurations  Tibial inserts ??two conformity levels for desired stability. Axis of rotation *xternally rotated to base to improve tracking without sacrificing tibial coverage.  Revision options ??all femoral cuts made through one cutting block  Patellar components ??single radius dome shape increases contact area and reduces contact stress; inset provides periphery of bone for stability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,ZIMMER,,,Trilogy Polyethylene Liners,,UHMWPE,To be used with Trilogy metal cups,,,"Four different ID of 22, 26, 28 and 32 mm  Seventy-one different O.D. and L.D. combinations  O.D. vary from 36-80 mm",Special instruments Available,,,"Four different designs; standard, 10, 20 degree and offset",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,ZIMMER,,,Multipolar Bipolar Cups,,Zimaloy (cobalt chrome alloy)  UHMWPE,Use with endoprostheses or modular femoral stem and head,,,"31.D. of 22,28 and 32 m 27 O.D. from 38-72 mm",Special instrumentation Available  110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,BIOMET,1983,,ACG Tibial Components,One-piece molded and modular tibial components,Cobalt chrome with titanium porous plasma spray,Primary cruciate retaining and substituting,,,"One-piece molded 65, 70, 75, 80, 85mm 8-20mm polyethylene thickness Modular 59, 63, 67, 71, 75, 79, 83, 87, 91mm 10-20mm polyethylene thickness",Intramedullary and extramedullary options Available   Special instruments Available to meet surgeon demands,"Several long-term, multi-center studies showing 7-10 clinical results between 96-98%",,"Full interchangeability with femur allows independent, anatomic sizing   Direct compression molded, argon sterilized polyethylene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,BIOMET,1983,,ACG Femoral Components,Primary cruciate retaining and posterior stabilized,Cobalt chrome with titanium porous plasma spray,Primary,,,"55,60, 65, 70, 75, 80mm (A/P)",Several options Available to surgeon Posterior and anterior referencing options Intramedullary and extramedullary  Simple steps to move from primary cruciate retaining to posterior stabilized,Dome shaped patellar offers excellent tracking even if malaligned   Flat-on-flat articulation allows rotational freedom and full interchangeability,,Combination of cobalt chrome and titanium maximizes durability and biocompatibility  Universal and anatomic femoral components Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,BIOMET,1992,,Maxim Femoral Components,"Primary cruciate retaining, posterior stabilized and constraining revision femoral components",Cobalt chrome with titanium porous plasma spray,Primary and revision,,,"55, 60, 65, 70, 75, 80mm (A/P)",Several options Available to surgeon Posterior and anterior referencing options Intramedullary  Simple steps to move from primary cruciate retaining to posterior stabilized or constrained options,Curved-on-curved articulation with full interchangeability (all levels of constraint) offers *xcellent contact area for stress distribution even during lift-off        NE 46 VA \,,Combination of cobalt chrome and titanium maximizes durability and biocompatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,BIOMET,1992,,Maxim Tibial Components,Fixed and modular stemmed tibial baseplates with modular poly,Cobalt chrome with titanium porous plasma spray (fixed I-beam stem)  Titanium with titanium porous plasma spray (modular stemmed components),"Primary cruciate retaining, posterior stabilized and revision constrained",,,"Primary 59, 63, 67,71, 75, 79, 83, 87, 91mm 10-18mm polyethylene thickness  Revision 59, 63, 67, 71, 75, 79, 83, 87, 91mm 10-24mm polyethylene thickness",Intramedullary and extramedullary options Available. Special instruments Available to meet surgeon demands,Curved-on-curved tibial articulation with full interchangeability offers excellent contact area for stress distribution even during lift-off  14,,"Full Interchangeability with femur allows independent, anatomic sizing   Direct compression molded, argon sterilized polyethylene gold standard in industry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,DEPUY," AMK® P/S Tibial Insert, 1990; AMK® Congruency P/S Tibial Insert; 1996",,AMK® Total Knee System Tibial inserts?�posterior stabilized,Polyethylene tibial insert implants for cruciate sacrificing primary total knee arthroplasty,Insert - Enduron UHMWPE.  Locking Post - cobalt chrome alloy,For use in primary and revision cruciate sacrificing arthroplasty,For use in cruciate sacrificing procedures  Insert size must match that of the femoral component   Locking post length must equal tibial insert thickness,,"AMK® P/S insert 5 sizes, thicknesses ranging from 10-28mm in 2mm increments   AMK® congruency P/S insert 5 sizes, thicknesses ranging from 10-28mm in 2mm increments","Compatible with the AMK Legend II, Advocate and Congruency instrument systems",Polyethylene gas plasma sterilization,"Postak, PD., Heim, C.S. and Greenwald, A.S. Tibial Plateau Surface Stress in TKA A Factor Influencing Polymer Damage, Series IV - PCL Substituting Designs, Orthopaedic Research Laboratories, Cleveland, Ohio, AAOS Scientific Exhibit, Atlanta, Georgia, February, 1996.   Keane, M.S. Crossett, L.S., Running, D.E., et al, Rotational Constraint of Total Knee Arthroplasties. Fifth World Congress, May 29-June 2, 1996. Toronto, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,DEPUY,1987,,AMK® Total Knee System - Tibial Inserts     Cruciate Retaining,Aline of cruciate retaining tibial inserts which match the AMK® femoral components,Enduron - UHMWPE Hylamer-M,"For use in primary, cruciate retaining total knee arthroplasty  Available in standard and A/P lipped geometries","For use in situations where the posterior cruciate, and collateral ligaments are intact, and an AMK® femoral component is being used",,"Sizes 1 through 5, thicknesses 8, 10, 12, 14, 16, 18mm","Used with corresponding standard or lipped AMK® tibial insert trials, contained in the Legend II, Legend I and Advocate systems",The insert size must match that of the femoral component  Insert is fixed to the tibial tray via the AMK® pin and clip  Polyethylene gas plasma sterilization,"Wear Results of Hylamer and Hylamer-M Polymers. Material Matters. Vol. 1 No. 2, July 1994.  Hylamer Orthopaedics Bearing Polymer. Innovations for Success. Vol. 1 No. 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,DEPUY,1991,,Keane Uni-Compartmental Knee Femoral Component Tibial Component,"Metal femoral component, which works with an all polyethylene tibial component to surgically address uni-compartmental knee disease",Femoral component - cobalt chrome alloy Tibial component - Enduron UHMWPE,"Femoro-tibial osteoarthritis, joint deformity, post-traumatic injury","Osteoarthritic patients exhibiting a varus or valgus deformity of no more that 15°, or a flexion photo not provided contracture of no more than 15° in one compartment of the knee and where the cruciate and collateral ligaments are intact",,"Femoral component - 5 sizes Tibial component - 4 M/L, A/P sizes in 3 thicknesses 8, 10 and 12mm",Femoral and tibial trials and instrumentation Available,"Surgical technique is ?�bone-conservative.??This system should be used with caution in the event of medial compartment osteoarthritis with valgus deformity, or in the case of rheumatoid arthritis or prior tibial osteotomy   Polyethylene gas plasma sterilization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,DEPUY,1984,,Synatomic® Total Knee System,An implant system designed for use in tri-compartmental knee arthroplasty,Femoral components - cobalt chrome alloy  Tibial components - cobalt chrome alloy  Patella components - cobalt chrome alloy/ UHMWPE  Tibial insert components - UHMWPE,Implant system designed for use in primary and revision knee arthroplasty,"The Synatomic® implant system was designed to resurface knee joints with total arthroplasty, whether or not the cruciate ligaments are present",,"Femoral components primary - 4 left and right. revision - 4 left and right M/L 62, 68, 74, 80mm. A/P 38, 42, 48, 53mm  Tibial components primary - 4 sizes. revision - 8 sizes M/L 65, 72, 78,82mm. A/P 41, 42, 44, 51mm. Used with 6.5mm screws Tibial inserts - 4 sizes, 5 thicknesses 8, 10, 12, 16 and 20mm M/L 66, 72,78, 82mm. A/P 41, 42, 44, 52mm   Patella component - metal-backed - 34mm All-poly - 35mm   Revision femoral stem length - 99, 102, 114, 127mm   Revision tibial platform stem length - 77 & 41mm",Synatomic® implants are used with the FI.R.S.T??instruments,This system incorporated the use of a pin and clip mechanism to secure the tibial insert to the tibial tray        18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,DEPUY,1980,,Townley Anatomic??Knee System,A tri-compartmental knee system of unconstrained implants and instrumentation designed for use in primary knee arthroplasty,Femoral component - cobalt chrome alloy Tibial component - cobalt chrome alloy  Enduron UHMWPE  Patella component - UHMWPE,Primary use only,"Rec6mmended for treatment of knee pain and loss of function due to osteoarthritis, rheumatoid arthritis, and other diseases  The posterior cruciate and collateral ligaments must be intact for use of this system  photo not provided",,"Femoral component - 5 sizes, left and right,- 2 sizes  Standard tibial component - 4 sizes, x-small, small, medium, large and x-large 7 thicknesses   Patella component - 4 diameters, 34, 35, 37, 39mm",ELR.S.T. instrumentation system,System contains a one-piece tibial component  The Townley Knee was indicated for use in cruciate retaining surgeries only,"Townley, C.O. Experiences with Anatomic Total Knee Replacement, The Journal of Bone and Joint Surgery, 3, Orthopaedic Transactions, 1979.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,DEPUY," Townley Patella, 1980; Universal Patella, 1980; AMK® Metal-Backed Patella, 1988; AMK All-Poly Patella, 1987; AMK All Poly 3 peg Patella, 1998",,AMK® Patella Implants  Townley/Synatomic Universal Patella Implants,All-poly and metal-backed implants for replacement of the patella in total knee arthroplasty,Enduron UHMWPE Cobalt chrome alloy,For use in tri-compartmental knee replacement primary or revision surgery,Cemented and non-cemented applications,,"Townley diameters 34, 37, & 39mm. Universal diameters 35mm AMK® diameters 26, 30, 34, 36, 38, & 40mm","Townley and universal patella used with the ELR.S.T. instrument system   AMK® used with the Legend I & II, Patella Prep and One-Step patella reaming systems","Townley and universal patella featured a single, central peg  AMK® patella features ?�cookie-cutter??fixation geometry & a 3 peg fixation geometry  Polyethylene gas plasma sterilization","Steubben, C.M. Postak, PD. and Greenwald, A.S. Mechanical Characteristics of Patellofemoral Replacements, AAOS Scientific Exhibit, 60th Annual Meeting, San Francisco, California, February, 1993.   Rorabeck, C.H., et al. Randomized Prospective Comparison of the Two-Year Clinical Results of 50 Miller Galante I Total Knees (MGI) and 50 Anatomic Modular Knees (AMK) in Patients with Osteoarthritis, AAOS Scientific Exhibit, 59th Annual Meeting, Washington, D.C., February, 1992.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,DEPUY," AMK® All-Poly Cruciate Retaining Tibial Component, 1991; All-Poly P/S Tibial Component, 1995; All-Poly C/R Tibial Component, 1997",,AMK® All-Poly Tibial Components,All-polyethylene tibial components for use in total knee arthroplasty with cement fixation,Enduron UHMWPE,"For use with the AMK® system of femoral components, in of 10, 12, 14, 16mm  1970 series P/S, sizes 1 through 5 Thicknesses of 10, 12, 14, 16 and 18mm  1971 series cruciate retaining, sizes 1 through 5 Thicknesses of 10, 12, 14, 16 and 18mm",,,,"1489 Series C/R implants are used with the 2489 All-Poly tibial prep instruments  1970 and 1971 Series of implants are used with the AMK® Legend I & II, Advocate and Congruency instrument sets","The size of the all-poly tibial component must be the same as that of the femoral component  The 1970, and 1971 series of implants have 2 posterior pegs for anti-rotation  Polyethylene gas plasma sterilization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,DEPUY," Porous, 1987; Textured, 1988; Universal, 1990",,AMK® Total Knee System- Cruciate Retaining Femoral Component,"A system of femoral implants designed for use in cruciate retaining total knee arthroplasty. Available with Porocoat anatomic components, as well as textured universal and anatomic components",Cobalt chrome alloy,"Indicated for use in primary knee arthroplasty, cemented or non-cemented",These implants may only be used when the posterior cruciate and collateral ligaments are intact,,"Porocoat and textured 7 sizes, right and left M/L 61-88mm A/P 37-55mm Universal component 5 sizes  M/L 56-80mm; A/P 39-55mm","Uses Legend I, Legend II, Advocate or Congruency instrument systems",These devices have not been approved for non-cemented application,"Volz, R.G., Nisbet, ].K., Lee, R.W. and McMurtry, M.G. The Mechanical Stability of Various Non-Cemented Tibial Components, Clinical Orthopaedics and Related Research, Vol. 226 pp. 38-42, January 1988.     22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,DEPUY," Divergent-Box P/S Porocoat Femoral, 1990; Divergent-Box P/S Textured Femoral, 1991; Congruency P/S Femoral; 1994",,AMK® Posterior Stabilized Femoral Components,Aline of porocoated and textured posterior stabilized femoral implants designed to substitute for the PCL,Cobalt chrome alloy,Used for primary cruciate sacrificing total knee arthroplasty,May be used for cemented and non-cemented applications,,"Available in sizes 1 through 5, with 2+ and 3+ M/L 61-88mm A/P 37-55mm","The AMK® P/S and AMK® Congruency P/S femoral components are compatible with the AMK® Legend II, Advocate and Congruency instrument systems",The implants feature an open intercondylar notch area in the implant to reduce the amount of bone resected  The posterior stabilized implant must be used with the corresponding sized P/S tibial insert   Waffle pattern design to inner surface of femoral for *nhanced cement fixation,"Keane, M.S., Crossett, L.S. and Running, D.E., et al, Rotational Constraint of Total Knee Arthroplasties, Fifth World Biomaterials Congress, Toronto, Canada, May 29-June 2, 1996.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,DEPUY," Fixed Stem Tray, 1992; CRX Textured Tray, 1995; CRX Porocoat Tray, 1996",,AMK® Fixed Stem and CRX Tibial Tray Implants,"Fixed stem tray, 1888-30/38, w/ 2 posterior pegs  CRX textured tray, 1988 30/38, cruciate keel   CRX Porocoat tray, 1988-20/28, cruciate keel w/ 2 screw holes","1888-30/38, fixed stem tray - cobalt chrome alloy   1988-30/38, CRX textured tray - cobalt chrome alloy   1988-20/28, CRX Porocoat tray - cobalt chrome alloy   1988-40-015/065,CRX 6.5mm low profile screws - cobalt chrome alloy",Indicated for use in primary and revision knee arthroplasty,For use in cemented and non- cemented applications,,"9sizes. M/L 63-90mm A/P 43-62mm  Tray is 4 mm thick  Stem lengths 1+, 2, 2+ = 35mm, 3, 3+, 4 =45mm, 4+, 5, 5+ = 55mm","Compatible with the Legend I & II, Advocate and CRX tibial prep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,DEPUY,,,,,,,,,,,Highly polished tibial tray surface allowing for reduced wear   A universal dovetail geometry on *ach tibial insert and tray that allows sizes and style to be interchangeable  Trays are packaged with the AMK® pin and clip locking mechanism,"Volz, R.G., Nisbet, J.K., Lee, RW. and McMurtry, M.G. The Mechanical Stability of Various Non-Cemented Tibial Components, Clinical Orthopaedics and Related Research, Vol. 226 pp- 38-42, January 1988.   Incavo, S.J. Howe, J.G., Ronchetti, PJ. and Tranowski, J. Tibial Coverage in Total Knee Replacement, AAOS Scientific Exhibit, 60th Annual Meeting, San Francisco, California, February, 1993.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,DEPUY," Primary Tray-Porocoat, 1986; Porocoat Titanium Tibial Tray, 1986; Textured Tibial Tray, 1988; Revision Tray, 1988",,AMK® Tibial Tray Implants,"Primary tray Porocoat, 1488-20/28, universal tray w/ 4 screw holes Textured tray, 1688-20/28  Revision tray, 1488-84/88","1488-20/28 primary tray, Porocoat - titanium alloy   1688-20/28 textured tray - titanium alloy   1488-84/88 revision tray - cobalt chrome alloy   6.5mm low profile screws - titanium alloy",Indicated for use in total knee arthroplasty with the AMK® tibial inserts,Revision tray is indicated for use in revision arthroplasty,,"All trays except the revision trays are Available in 9 sizes M/L 63- 90mm A/P 43-62mm   Revision tray is Available in 4 sizes M/L 65-82mm A/P 41-51mm   Screw lengths; 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65mm   Universal Stems 10x70mm, 14x70mm, 10x110mm, 14x110mm, 10x50mm     126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,DEPUY,,,,,,,,,,"Trays are compatible with the AMK® Legend I and II, Advocate and CRX, instrumentation   The revision tray is for use with the AMK revision instrumentation",All tibial trays are packaged with the AMK® pin and clip locking mechanism   A universal dovetail geometry on  *ach tibial insert and tray that allows sizes and style to be interchangeable,"Volz, R.G., Nisbet, J.K., Lee, R.W. and McMurtry, M.G. The Mechanical Stability of Various Non-Cemented Tibial Components, Clinical Orthopaedics and Related Research, Vol. 226 pp. 38-42, January 1988.  Incavo, S.]., Howe, ]J.G., Ronchetti, PJ. and Tranowski, J. Tibial Coverage in Total Knee Replacement, AAOS Scientific Exhibit, 60th Annual Meeting, San Francisco, California, February, 1993.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,DEPUY,1994,,Coordinate??Coordinate Ultra??Revision Knee System,"Cemented cruciate sacrificing design. Femoral accepts 4, 8, 12mm distal and 4- 8mm posterior wedges and also both cemented/tapered and canal filling stems",Cobalt chrome alloy,Revision/primary,Intended for revision of a failed total knee replacement,,Five femoral sizes in both right and left A/P diameters of 51-73mm M/L diameters of 61-86mm,Coordinate??instrumentation Available which uses intramedullary references,"Anatomic, asymmetric proportional condyles   Waffle pattern design to inner surface of femoral for enhanced cement fixation","Engh, G., Parker, N.L., The Classification and Treatment Options of Bone Defects in Revision Knee Surgery. AAOS, 1994.   Engh, G., Rorabeck, C., Revision Total Knee Arthroplasty. 1997. Williams & Wilkins.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,DEPUY,1994,,Coordinate??Coordinate Ultra??Revision Knee System,"Cruciate sacrificing design with two levels of constraint options, PS tibial inserts and Varus/Valgus tibial inserts",Insert-Enduron UHMWPE  Locking post?�cobalt chrome alloy,For use in primary and revision cruciates sacrificing arthroplasty,Intended for tri-compartmental resurfacing of the damaged or worn out articular surface and for revision of a failed total knee prosthesis,,Five tibial insert sizes with thicknesses ranging from 10-28mm in 2mm increments,Special instrumentation necessary and Available,Polyethylene gas plasma sterilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,DEPUY,1994,,Coordinate??/Coordinate Ultra??Revision Knee System,"Cemented non-modular tray design   Available in 4mm and 10mm thicknesses and 10°, 15° half wedge, 5°, 10°, 15° full wedge designs",Cobalt chrome alloy,Revision/primary,Intended for revision of a failed total knee prosthesis and for a tri- compartmental resurfacing of the damaged or worn out articular surface of the proximal tibia,,Five tibial base plate sizes A/P 43-60 M/L 63-86,Addresses tibial preparation through *ither intramedullary or extramedullary,Non-modular tray designs   Trays accept both cemented/taper and canal filling stems   Waffle pattern design to under surface of all tibial trays for enhanced cement fixation   Highly polished tibial tray surface allowing for reduced wear   A universal dovetail geometry on each tibial insert and tray that allows size and styles to be interchangeable     30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,DEPUY," AMK All poly Patella, 1987; AMK All Poly 3 Peg Patella, 1998",,Coordinate??Coordinate Ultra??Revision Knee System,All poly-dome and 3 peg design,*s UHMWPE,Primary/revision,Intended for tri-compartmental resurfacing of the damaged or worn out articular surfaces of the patella and for revision of a failed total knee replacement prosthesis,,"Diameter sizes 26, 30, 34, 38, 40mm??(dome) 26, 30, 34, 36, 38, 40mm??3 peg)",,Gas plasma sterilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,DEPUY,1994,,Coordinate??Coordinate Ultra??Revision Knee System,,Cobalt chrome alloy,Revision/primary,,,"Cemented/tapered 10x50, 10x70, 10x105 canal filling 8-26mm x 95mm in 2mm increments  10-20mm x 140mm in 2mm increments  12 and 14mm x 190 and 240mm",,,,Single set of stems for both the femoral and tibial tray implants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,DEPUY,1985,,LCS Total Knee System,Anatomic femoral component with deep trochlear groove and c6mmon spherical geometry,Cobalt chrome alloy,Primary posterior cruciate retaining and sacrificing options,Product indicated for implantation with and without cement,,6 ml range 55 - 80 mm; AP 50 - 75 mm,Milestone instrumentation offering intramedullary and extramedullary options,Only mobile bearing knee indicated for use in the U.S. market. Premise based on high congruency with mobility to reduce stresses on polyethylene. Femoral design of 1977 focused on use with or without patella resurfacing,"Sorrells, R.B., Primary Knee Arthroplasty Long-Term Outcomes, the Rotational Platform Mobile Bearing TKA, Orthopaedics Vol. 1 pp. 793-796, September 1996.  Jordan, L., Survivorship Analysis of Cementless Miniscal Bearing Total Knee Arthroplasty, Corr Vol. 338 pp. 119-123, May 1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,DEPUY,1985,,LCS??Total Knee System,"Tibial bearing components Available in meniscal bearing (uni, bi-cruciate, and meniscal bearing - PCL saving) rotating platform (PCL sacrificing) and deep dish rotating platform options",GUR 415 Enduron UHMWPE,"Used in addressing uni-, bi-cruciate retaining, PCL saving and PCL sacrificing modalities",Deep dish option offers surgeon method of addressing both fixed valgus and fixed varus deformities where medial and lateral collaterals are intact,,"Effective thicknesses uni-compartmental, cruciate, PCL sparing 10, 12.5, 15, 17.5mm PCL sacrificing (rotating platform) 10, 12.5, 15, 17.5, 20mm deep dish, add 22.5, 25mm",Milestone??instrumentation featuring one step tibial preparation system,Deep dish bearing inserts offer subluxation resistance equal to conventional posted device without need for box cut in femur and post and cam mechanism,"Sorrells, R.B., Primary Knee Arthroplasty Long-Term Outcomes, the Rotational Platform Mobile Bearing TKA, Orthopaedics Vol. 1 pp. 793-796, September 1996.   Buechel, E, Low Contact Stress Meniscal Bearing Uni-Compartmental Knee Replacement  Long Term Evaluation of Cemented and Cementless Results Journal of Orthopaedic Rheumatology 7, pp. 31-41, 1994.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,DEPUY,1985,,LCS Total Knee System,Anatomic rotating metal backed and semi anatomic fixed poly-components offered in both cruciform and 3 pegged fixation options,Cobalt chrome alloy backplate  GUR 415 Enduron UHMWPE,Utilized with contemporary resurfacing techniques with and without cement,Indicated for use with and without cement. Patellar component matches LCS femoral component for  maximum contact areas and reduced contact stress photo not provided,,6 each,Milestone instrumentation with modular resection guide and patellar planer,Only mobile bearing anatomic patella option Available for c6mmercial marketing in U.S. with *mphasis on congruity and expanded contact areas,"Jordan, Louis R., M.D., et. al. Successful Use of a Metal-Backed Rotating Anatomic Patella in TKA Biomechanical Rational and Clinical Experience, AAOS, Patella Resurfacing or Retention in Total Knee Arthroplasty, 1993   Keblish, Peter A, et. al. A Prospective Study of Patient with Bilateral Replacement, The Journal of Bone and Joint Surgery, British Vol. No. 6 pp. 930-937, November, 1994.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,DEPUY,1985,,LCS Total Knee System,System contains 2 fixed stem tibial tray options for addressing varying bone deficiencies,Cobalt chrome alloy,Utilized for addressing broad spectrum of patient deformities allowing for use with both PCL and deep dish bearing insert in PCL deficient knee,Indicated for use without cement in PCL deficient knees,,Revision 4 sizes with fixed stems and 5 or 15 mm tray thickness,Milestone instrumentation package with tibial reaming system,Highly polished tibial tray surface allowing for reduced wear and long term proven results. Both systems utilize same femoral component featuring c6mmon generating geometry and deep sulcus for proven patella function,"Buechel, E, Primary Exchange of Revision Arthroplasty Using Antibiotic-Impregnated Cement for Infected Total Knee Arthroplasty, Orthopaedic Review, pp. 83-87, October, 1990 Supplement.   Buechel, E, Cemented and Cementless Revision Arthroplasty Using Rotating-Platform Total Knee Implants, Orthopaedic Review, pp. 71-75, October, 1990, Supplement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,DEPUY,1997,,LCS Total Knee System Uni-Compartmental,Prosthesis for use in treating single compartmental disease,Cobalt chrome alloy  L/M.R/L,Implant designed for use in treatment of single compartment disease,Available with Porocoat porous coating. Indicated for use without cement,,6 sizing scheme 1-6,Designated uni-compartmental instrumentation featuring an anterior approach  Extramedullary,New system introduced in 1997 based on similar design first introduced in 1985. Special note articulating geometry of new design same as previous implant,"Cophen, M., Buechel, E, and Pappas, M., Meniscal-Bearing Uni-Compartmental Knee Arthroplasty - An 11-Year Clinical Study, Orthopaedic Review, Vol. XX, No. 5 pp. 443-448, May, 1991.  Buechel, E, Low Contact Stress Meniscal Bearing Uni-Compartmental Knee Replacement Long Term Evaluation of Cemented and Cementless Results, Journal of Orthopaedic Rheumatology 7, pp. 31-41, 1994.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,HOWMEDICA INC.,,1991,Duracon® Total Knee System,"Includes an array of modular and monolithic femoral components, including porous coated and non-porous coated surfaces. There are several patellar implants for both resurfacing and insetting techniques. Tibial implants include porous and non-porous coated surfaces and all-plastic implants. A series of augments-stem extenders, spacers and wedges-complete the system",Vitallium® alloy. Standard and Duration® stabilized UHMWPE,"Unicompartmental, primary and revision total knee arthroplasty",Cemented and non-cemented applications,Excellent articular conformity   Exceptional anatomic patellofemoral tracking   Extensive worldwide experience   Accurate surgery with Monogram® instruments,A full range of sizes,Monogram® instrument system,Used in hundreds of thousands of cases in 58 countries around the world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
